"TL","Freq","wtMean"
7.5,10,10.6388367729831
8,22,10.6388367729831
8.5,49,10.6388367729831
9,46,10.6388367729831
9.5,15,10.6388367729831
10,11,10.6388367729831
10.5,33,10.6388367729831
11,172,10.6388367729831
11.5,69,10.6388367729831
12,64,10.6388367729831
12.5,19,10.6388367729831
13,23,10.6388367729831
