"_id.Fisher ID",_id.reportDate,reportName,reportDate,group,category,Fisher ID,Shoot Start,Shoot Start Location,Shoot Finish,Shoot Finish Location,Shot Depth (m),Haul Start,Haul End,Comments (Catch),Main Species Index,Main Species,Main Catch Weight (kg),Record Bycatch (Y/N),Fishing Gear,Bait Used,No Hooks,Line Length (m),Mitigation Study,Mitigation type,Fisher Sampling (Y/N),Comments,Bycatch Index,Bycatch Species,Individual / Group,Sex,Alive Count,Dead Count,Retained Count,Total Alive Weight (kg),Total Dead Weight (kg),Total Retained Weight (Kg),Photo (First),Sampled Species Index,Sampled Species,Number of Individuals,Length Category,Sex (Sampled Species),Comments (Sampled Species),AST Correlation ID,APP Correlation ID,Uploaded Date
FM000006,2021-05-17T00:00:00.000Z,FM000006,2021-05-17T00:00:00.000Z,4.0,,FM000006,2021-05-17T04:00:00.000Z,"49.8635295690039,-5.24044752676261",2021-05-17T15:00:00.000Z,"49.8638148122105,-5.24001073588686",85,2021-05-17T09:00:00.000Z,2021-05-17T15:00:00.000Z,NA,0,Monkfish,36,N,MA4,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0c547f7e-89dc-4d03-aa69-aa02202f79f2,9CCBDEBB21B7EB11B5D14DE21EC20037,2021-05-17T15:10:15.610Z
FM000006,2021-05-17T00:00:00.000Z,FM000006,2021-05-17T00:00:00.000Z,4.0,,FM000006,2021-04-07T05:00:00.000Z,"49.6192141163043,-4.69992898167401",2021-04-08T17:00:00.000Z,NA,90,2021-04-07T08:00:00.000Z,2021-04-07T16:00:00.000Z,NA,0,,0,N,,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fc0fdeb4-4a87-4418-b644-cbfd8399612c,90E941C37898EB118953B97C1A58D6E2,2021-05-17T15:10:15.472Z
FM000006,2021-05-17T00:00:00.000Z,FM000006,2021-05-17T00:00:00.000Z,4.0,,FM000006,2021-04-08T05:00:00.000Z,"49.8122409975843,-5.26413939286515",2021-04-08T15:42:16.447Z,NA,90,2021-04-08T08:00:00.000Z,2021-04-08T15:42:39.076Z,NA,0,Monkfish,300,N,MA4,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19d6deb8-2c19-42b2-a3a3-a926d4dc15b5,ACEABC7B7898EB118953B97C1A58D6E2,2021-05-17T15:10:14.720Z
FM000003,2021-07-28T00:00:00.000Z,FM000003,2021-07-28T00:00:00.000Z,4.0,,FM000003,2021-07-28T04:59:35.504Z,"50.2801633333333,-4.77721833333333",2021-07-28T05:02:22.281Z,"50.2833266666667,-4.77618833333333",7,2021-07-28T06:00:00.000Z,2021-07-28T06:30:00.000Z,NA,0,Mackerel,12,N,MA4,,,,Y,No devices (control),N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,b70af7ca-7006-4f91-bd00-e2edd2251f70,86D45171CC8247EEB2F1DCEFFC70FFDC,2021-07-28T12:20:26.880Z
FM000003,2021-07-28T00:00:00.000Z,FM000003,2021-07-28T00:00:00.000Z,4.0,,FM000003,2021-07-28T04:50:35.957Z,"50.2760933333333,-4.778665",2021-07-28T04:53:39.230Z,"50.273615,-4.77699333333333",11,2021-07-28T05:40:00.000Z,2021-07-28T06:00:00.000Z,NA,0,Red Mullet,2,N,MA4,,,,Y,Lights & Pingers,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4dd04421-5d5e-4a47-b9a2-5cce592569c4,5B2DE5B6DEBC4876A76BF198DE0287E9,2021-07-28T12:20:26.408Z
FM000003,2021-10-16T00:00:00.000Z,FM000003,2021-10-16T00:00:00.000Z,4.0,,FM000003,2021-10-16T00:00:00.000Z,NA,1899-12-30T00:00:00.000Z,NA,0,2021-10-16T06:30:00.000Z,2021-10-16T11:00:00.000Z,NA,0,Mackerel,400,N,Handlining,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,e6499132-1254-4016-a08c-bcb41f6288b5,A5654AFDE60F4C639E8B8E9039F25809,2021-10-16T12:38:40.219Z
FM000006,2021-02-25T00:00:00.000Z,FM000006,2021-02-25T00:00:00.000Z,4.0,,FM000006,2021-02-06T05:00:00.000Z,"49.8772747694457,-5.12569001936861",2021-02-06T15:49:32.492Z,"49.8774934682817,-5.12547848602263",90,2021-02-06T08:00:00.000Z,2021-02-06T15:49:59.587Z,NA,0,Monkfish,0,N,Other Tangle Net,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,016cc05f-5915-4dde-b197-9009df2cefe0,F4DD80C99268EB119D6199262B8ACE92,2021-02-25T16:35:16.743Z
FM000006,2021-02-25T00:00:00.000Z,FM000006,2021-02-25T00:00:00.000Z,4.0,,FM000006,2021-02-25T00:00:00.000Z,"49.9909712372502,-5.09263977984193",2021-02-25T16:36:23.332Z,"49.991064576622,-5.09254708774989",90,2021-02-25T08:00:00.000Z,2021-02-25T16:36:55.530Z,NA,0,Monkfish,300,N,,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,a63c9c77-696b-47b7-a46b-0fe33bbb2b71,DAE56F758777EB119F93F3920DCFCC87,2021-02-25T16:37:19.325Z
FM000003,2021-11-18T00:00:00.000Z,FM000003,2021-11-18T00:00:00.000Z,4.0,,FM000003,2021-11-18T00:00:00.000Z,NA,1899-12-30T00:00:00.000Z,NA,0,2021-11-18T07:00:00.000Z,2021-11-18T09:30:00.000Z,NA,0,Mackerel,35,N,Handlining,,,,N,NA,N,NA,NA,NA,Group,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fe8c0ec3-42c2-487f-baf0-c4f1ba907cc7,3993B6F22C7141EB89F3BA877B44B1EB,2021-11-18T12:11:49.536Z
astadmin,2021-07-16T00:00:00.000Z,astadmin,2021-07-16T00:00:00.000Z,2.0,,astadmin,2021-02-26T00:00:00.000Z,NA,1899-12-30T00:00:00.000Z,NA,0,,,NA,0,,0,Y,,,,,,,N,NA,0,,Group,,0,0,0,NA,NA,NA,NA,NA,NA,,,NA,NA,d9c67aa1-20ef-4f44-96d9-e9fcb9e88254,B57F0609393D424D94E817B4AEDB883C,2021-07-16T13:26:21.413Z
