"TL","month","year","source","fishingseason","Freq","wtMean"
17,"Mar",2018,"processor","2017-2018",9,19.0758333333333
17.5,"Mar",2018,"processor","2017-2018",44,19.0758333333333
18,"Mar",2018,"processor","2017-2018",39,19.0758333333333
18.5,"Mar",2018,"processor","2017-2018",128,19.0758333333333
19,"Mar",2018,"processor","2017-2018",63,19.0758333333333
19.5,"Mar",2018,"processor","2017-2018",168,19.0758333333333
20,"Mar",2018,"processor","2017-2018",34,19.0758333333333
20.5,"Mar",2018,"processor","2017-2018",70,19.0758333333333
21,"Mar",2018,"processor","2017-2018",9,19.0758333333333
21.5,"Mar",2018,"processor","2017-2018",12,19.0758333333333
22.5,"Mar",2018,"processor","2017-2018",3,19.0758333333333
23,"Mar",2018,"processor","2017-2018",1,19.0758333333333
18,"Jul",2018,"fisher","2018-2019",8,20.234243697479
18.5,"Jul",2018,"fisher","2018-2019",25,20.234243697479
19,"Jul",2018,"fisher","2018-2019",41,20.234243697479
19.5,"Jul",2018,"fisher","2018-2019",64,20.234243697479
20,"Jul",2018,"fisher","2018-2019",101,20.234243697479
20.5,"Jul",2018,"fisher","2018-2019",100,20.234243697479
21,"Jul",2018,"fisher","2018-2019",68,20.234243697479
21.5,"Jul",2018,"fisher","2018-2019",43,20.234243697479
22,"Jul",2018,"fisher","2018-2019",19,20.234243697479
22.5,"Jul",2018,"fisher","2018-2019",7,20.234243697479
16.5,"Aug",2018,"fisher","2018-2019",2,20.4320765178819
17,"Aug",2018,"fisher","2018-2019",42,20.4320765178819
17.5,"Aug",2018,"fisher","2018-2019",61,20.4320765178819
18,"Aug",2018,"fisher","2018-2019",166,20.4320765178819
18.5,"Aug",2018,"fisher","2018-2019",229,20.4320765178819
19,"Aug",2018,"fisher","2018-2019",285,20.4320765178819
19.5,"Aug",2018,"fisher","2018-2019",311,20.4320765178819
20,"Aug",2018,"fisher","2018-2019",538,20.4320765178819
20.5,"Aug",2018,"fisher","2018-2019",421,20.4320765178819
21,"Aug",2018,"fisher","2018-2019",449,20.4320765178819
21.5,"Aug",2018,"fisher","2018-2019",405,20.4320765178819
22,"Aug",2018,"fisher","2018-2019",379,20.4320765178819
22.5,"Aug",2018,"fisher","2018-2019",159,20.4320765178819
23,"Aug",2018,"fisher","2018-2019",95,20.4320765178819
23.5,"Aug",2018,"fisher","2018-2019",31,20.4320765178819
24,"Aug",2018,"fisher","2018-2019",18,20.4320765178819
24.5,"Aug",2018,"fisher","2018-2019",16,20.4320765178819
17,"Sep",2018,"fisher","2018-2019",13,20.4718209239562
17.5,"Sep",2018,"fisher","2018-2019",36,20.4718209239562
18,"Sep",2018,"fisher","2018-2019",165,20.4718209239562
18.5,"Sep",2018,"fisher","2018-2019",267,20.4718209239562
19,"Sep",2018,"fisher","2018-2019",498,20.4718209239562
19.5,"Sep",2018,"fisher","2018-2019",614,20.4718209239562
20,"Sep",2018,"fisher","2018-2019",1074,20.4718209239562
20.5,"Sep",2018,"fisher","2018-2019",1076,20.4718209239562
21,"Sep",2018,"fisher","2018-2019",974,20.4718209239562
21.5,"Sep",2018,"fisher","2018-2019",684,20.4718209239562
22,"Sep",2018,"fisher","2018-2019",517,20.4718209239562
22.5,"Sep",2018,"fisher","2018-2019",228,20.4718209239562
23,"Sep",2018,"fisher","2018-2019",106,20.4718209239562
23.5,"Sep",2018,"fisher","2018-2019",27,20.4718209239562
24,"Sep",2018,"fisher","2018-2019",16,20.4718209239562
24.5,"Sep",2018,"fisher","2018-2019",4,20.4718209239562
17,"Oct",2018,"fisher","2018-2019",18,20.0658901251739
17.5,"Oct",2018,"fisher","2018-2019",60,20.0658901251739
18,"Oct",2018,"fisher","2018-2019",222,20.0658901251739
18.5,"Oct",2018,"fisher","2018-2019",421,20.0658901251739
19,"Oct",2018,"fisher","2018-2019",774,20.0658901251739
19.5,"Oct",2018,"fisher","2018-2019",689,20.0658901251739
20,"Oct",2018,"fisher","2018-2019",1156,20.0658901251739
20.5,"Oct",2018,"fisher","2018-2019",881,20.0658901251739
21,"Oct",2018,"fisher","2018-2019",618,20.0658901251739
21.5,"Oct",2018,"fisher","2018-2019",509,20.0658901251739
22,"Oct",2018,"fisher","2018-2019",235,20.0658901251739
22.5,"Oct",2018,"fisher","2018-2019",92,20.0658901251739
23,"Oct",2018,"fisher","2018-2019",44,20.0658901251739
23.5,"Oct",2018,"fisher","2018-2019",18,20.0658901251739
24,"Oct",2018,"fisher","2018-2019",15,20.0658901251739
17,"Nov",2018,"fisher","2018-2019",21,20.4295947605403
17.5,"Nov",2018,"fisher","2018-2019",38,20.4295947605403
18,"Nov",2018,"fisher","2018-2019",65,20.4295947605403
18.5,"Nov",2018,"fisher","2018-2019",112,20.4295947605403
19,"Nov",2018,"fisher","2018-2019",140,20.4295947605403
19.5,"Nov",2018,"fisher","2018-2019",232,20.4295947605403
20,"Nov",2018,"fisher","2018-2019",423,20.4295947605403
20.5,"Nov",2018,"fisher","2018-2019",405,20.4295947605403
21,"Nov",2018,"fisher","2018-2019",380,20.4295947605403
21.5,"Nov",2018,"fisher","2018-2019",363,20.4295947605403
22,"Nov",2018,"fisher","2018-2019",147,20.4295947605403
22.5,"Nov",2018,"fisher","2018-2019",62,20.4295947605403
23,"Nov",2018,"fisher","2018-2019",30,20.4295947605403
23.5,"Nov",2018,"fisher","2018-2019",12,20.4295947605403
24,"Nov",2018,"fisher","2018-2019",10,20.4295947605403
24.5,"Nov",2018,"fisher","2018-2019",3,20.4295947605403
20.5,"Dec",2018,"fisher","2018-2019",12,21.5714285714286
21,"Dec",2018,"fisher","2018-2019",12,21.5714285714286
21.5,"Dec",2018,"fisher","2018-2019",24,21.5714285714286
22,"Dec",2018,"fisher","2018-2019",24,21.5714285714286
22.5,"Dec",2018,"fisher","2018-2019",12,21.5714285714286
14.5,"Jul",2018,"processor","2018-2019",1,18.5826666666667
15,"Jul",2018,"processor","2018-2019",5,18.5826666666667
15.5,"Jul",2018,"processor","2018-2019",11,18.5826666666667
16,"Jul",2018,"processor","2018-2019",24,18.5826666666667
16.5,"Jul",2018,"processor","2018-2019",35,18.5826666666667
17,"Jul",2018,"processor","2018-2019",116,18.5826666666667
17.5,"Jul",2018,"processor","2018-2019",149,18.5826666666667
18,"Jul",2018,"processor","2018-2019",354,18.5826666666667
18.5,"Jul",2018,"processor","2018-2019",188,18.5826666666667
19,"Jul",2018,"processor","2018-2019",224,18.5826666666667
19.5,"Jul",2018,"processor","2018-2019",98,18.5826666666667
20,"Jul",2018,"processor","2018-2019",131,18.5826666666667
20.5,"Jul",2018,"processor","2018-2019",73,18.5826666666667
21,"Jul",2018,"processor","2018-2019",59,18.5826666666667
21.5,"Jul",2018,"processor","2018-2019",19,18.5826666666667
22,"Jul",2018,"processor","2018-2019",7,18.5826666666667
22.5,"Jul",2018,"processor","2018-2019",2,18.5826666666667
23,"Jul",2018,"processor","2018-2019",3,18.5826666666667
24,"Jul",2018,"processor","2018-2019",1,18.5826666666667
14,"Aug",2018,"processor","2018-2019",1,18.0129553867134
14.5,"Aug",2018,"processor","2018-2019",6,18.0129553867134
15,"Aug",2018,"processor","2018-2019",52,18.0129553867134
15.5,"Aug",2018,"processor","2018-2019",161,18.0129553867134
16,"Aug",2018,"processor","2018-2019",407,18.0129553867134
16.5,"Aug",2018,"processor","2018-2019",398,18.0129553867134
17,"Aug",2018,"processor","2018-2019",592,18.0129553867134
17.5,"Aug",2018,"processor","2018-2019",556,18.0129553867134
18,"Aug",2018,"processor","2018-2019",799,18.0129553867134
18.5,"Aug",2018,"processor","2018-2019",560,18.0129553867134
19,"Aug",2018,"processor","2018-2019",638,18.0129553867134
19.5,"Aug",2018,"processor","2018-2019",361,18.0129553867134
20,"Aug",2018,"processor","2018-2019",305,18.0129553867134
20.5,"Aug",2018,"processor","2018-2019",141,18.0129553867134
21,"Aug",2018,"processor","2018-2019",100,18.0129553867134
21.5,"Aug",2018,"processor","2018-2019",39,18.0129553867134
22,"Aug",2018,"processor","2018-2019",8,18.0129553867134
22.5,"Aug",2018,"processor","2018-2019",9,18.0129553867134
14.5,"Sep",2018,"processor","2018-2019",2,18.3713559322034
15,"Sep",2018,"processor","2018-2019",17,18.3713559322034
15.5,"Sep",2018,"processor","2018-2019",45,18.3713559322034
16,"Sep",2018,"processor","2018-2019",145,18.3713559322034
16.5,"Sep",2018,"processor","2018-2019",244,18.3713559322034
17,"Sep",2018,"processor","2018-2019",587,18.3713559322034
17.5,"Sep",2018,"processor","2018-2019",758,18.3713559322034
18,"Sep",2018,"processor","2018-2019",1135,18.3713559322034
18.5,"Sep",2018,"processor","2018-2019",886,18.3713559322034
19,"Sep",2018,"processor","2018-2019",819,18.3713559322034
19.5,"Sep",2018,"processor","2018-2019",434,18.3713559322034
20,"Sep",2018,"processor","2018-2019",405,18.3713559322034
20.5,"Sep",2018,"processor","2018-2019",185,18.3713559322034
21,"Sep",2018,"processor","2018-2019",148,18.3713559322034
21.5,"Sep",2018,"processor","2018-2019",41,18.3713559322034
22,"Sep",2018,"processor","2018-2019",36,18.3713559322034
22.5,"Sep",2018,"processor","2018-2019",7,18.3713559322034
23,"Sep",2018,"processor","2018-2019",3,18.3713559322034
